epoch,revenue,broker_num,mer,fund,Rank,participation_rate,current_investment,sampled_cross_txs,predicted_investment,fund_share,dominance_streak,critical_mer_cap,shock_exit_count,shock_fund_drop,optimizer_phase
1,29.600000,0,0.150000,10000,13,0.000000,10000.000000,483,0.000000,0.500000,0,0.000000,0,0.000000,competition
2,29.800000,0,0.150000,10000,13,0.000000,10000.000000,955,0.000000,0.500000,0,0.000000,0,0.000000,competition
3,26.500000,0,0.146000,10000,13,0.000000,10000.000000,1388,0.000000,0.500000,0,0.000000,0,0.000000,competition
4,25.200000,0,0.142000,10000,13,0.000000,10000.000000,1471,0.000000,0.500000,0,0.000000,0,0.000000,competition
5,24.700000,0,0.138000,10000,13,0.000000,10000.000000,1466,0.000000,0.500000,0,0.000000,0,0.000000,competition
6,24.400000,0,0.134000,10000,13,0.000000,10000.000000,1466,0.000000,0.500000,0,0.000000,0,0.000000,competition
7,25.900000,0,0.130000,10000,13,0.000000,10000.000000,1471,0.000000,0.500000,0,0.000000,0,0.000000,competition
8,22.600000,0,0.126000,10000,13,0.000000,10000.000000,1459,0.000000,0.500000,0,0.000000,0,0.000000,competition
9,23.100000,0,0.122000,10000,13,0.000000,10000.000000,1451,0.000000,0.500000,0,0.000000,0,0.000000,competition
10,22.400000,0,0.118000,10000,13,0.000000,10000.000000,1452,0.000000,0.500000,0,0.000000,0,0.000000,competition
11,23.100000,0,0.114000,10000,13,0.000000,10000.000000,1470,0.000000,0.500000,0,0.000000,0,0.000000,competition
12,22.100000,0,0.110000,10000,13,0.000000,10000.000000,1479,0.000000,0.500000,0,0.000000,0,0.000000,competition
13,24.900000,0,0.106500,10000,13,0.000000,10000.000000,1423,0.000000,0.500000,0,0.000000,0,0.000000,competition
14,24.400000,0,0.103000,10000,13,0.000000,10000.000000,1476,0.000000,0.500000,0,0.000000,0,0.000000,competition
15,21.300000,0,0.099000,10000,13,0.000000,10000.000000,1453,0.000000,0.500000,0,0.000000,0,0.000000,competition
16,22.700000,0,0.095000,10000,13,0.000000,10000.000000,1460,0.000000,0.500000,0,0.000000,0,0.000000,competition
17,24.000000,0,0.091000,10000,13,0.000000,10000.000000,1475,0.000000,0.500000,0,0.000000,0,0.000000,competition
18,20.500000,0,0.087000,10000,13,0.000000,10000.000000,1452,0.000000,0.500000,0,0.000000,0,0.000000,competition
19,22.500000,0,0.083500,10000,13,0.000000,10000.000000,1477,0.000000,0.500000,0,0.000000,0,0.000000,competition
20,20.000000,0,0.079500,10000,13,0.000000,10000.000000,1492,0.000000,0.500000,0,0.000000,0,0.000000,competition
21,19.600000,0,0.075500,10000,13,0.000000,10000.000000,1454,0.000000,0.500000,0,0.000000,0,0.000000,competition
22,19.500000,0,0.071500,10000,13,0.000000,10000.000000,1475,0.000000,0.500000,0,0.000000,0,0.000000,competition
23,20.300000,0,0.067500,10000,13,0.000000,10000.000000,1459,0.000000,0.500000,0,0.000000,0,0.000000,competition
24,21.300000,0,0.064000,10000,13,0.000000,10000.000000,1503,0.000000,0.500000,0,0.000000,0,0.000000,competition
25,22.200000,0,0.060500,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
26,19.000000,0,0.060000,10000,13,0.000000,10000.000000,1461,0.000000,0.500000,0,0.000000,0,0.000000,competition
27,18.600000,0,0.060000,10000,13,0.000000,10000.000000,1509,0.000000,0.500000,0,0.000000,0,0.000000,competition
28,19.400000,0,0.060000,10000,13,0.000000,10000.000000,1479,0.000000,0.500000,0,0.000000,0,0.000000,competition
29,18.400000,0,0.060000,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
30,21.600000,0,0.060000,10000,13,0.000000,10000.000000,1487,0.000000,0.500000,0,0.000000,0,0.000000,competition
31,19.000000,0,0.060000,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
32,19.100000,0,0.060000,10000,13,0.000000,10000.000000,1484,0.000000,0.500000,0,0.000000,0,0.000000,competition
33,18.500000,0,0.060000,10000,13,0.000000,10000.000000,1455,0.000000,0.500000,0,0.000000,0,0.000000,competition
34,18.600000,0,0.060000,10000,13,0.000000,10000.000000,1484,0.000000,0.500000,0,0.000000,0,0.000000,competition
35,18.900000,0,0.060000,10000,13,0.000000,10000.000000,1450,0.000000,0.500000,0,0.000000,0,0.000000,competition
36,18.800000,0,0.060000,10000,13,0.000000,10000.000000,1452,0.000000,0.500000,0,0.000000,0,0.000000,competition
37,17.100000,0,0.060000,10000,13,0.000000,10000.000000,1496,0.000000,0.500000,0,0.000000,0,0.000000,competition
38,17.400000,0,0.060000,10000,13,0.000000,10000.000000,1475,0.000000,0.500000,0,0.000000,0,0.000000,competition
39,21.500000,0,0.060000,10000,13,0.000000,10000.000000,1468,0.000000,0.500000,0,0.000000,0,0.000000,competition
40,22.700000,0,0.060000,10000,13,0.000000,10000.000000,1489,0.000000,0.500000,0,0.000000,0,0.000000,competition
41,24.000000,0,0.060000,10000,13,0.000000,10000.000000,1460,0.000000,0.500000,0,0.000000,0,0.000000,competition
42,18.000000,0,0.060000,10000,13,0.000000,10000.000000,1480,0.000000,0.500000,0,0.000000,0,0.000000,competition
43,21.900000,0,0.060000,10000,13,0.000000,10000.000000,1467,0.000000,0.500000,0,0.000000,0,0.000000,competition
44,18.600000,0,0.060000,10000,13,0.000000,10000.000000,1473,0.000000,0.500000,0,0.000000,0,0.000000,competition
45,17.800000,0,0.060000,10000,13,0.000000,10000.000000,1468,0.000000,0.500000,0,0.000000,0,0.000000,competition
46,20.900000,0,0.060000,10000,13,0.000000,10000.000000,1450,0.000000,0.500000,0,0.000000,0,0.000000,competition
47,17.800000,0,0.060000,10000,13,0.000000,10000.000000,1479,0.000000,0.500000,0,0.000000,0,0.000000,competition
