epoch,revenue,broker_num,mer,fund,Rank,participation_rate,current_investment,sampled_cross_txs,predicted_investment,fund_share,dominance_streak,critical_mer_cap,shock_exit_count,shock_fund_drop,optimizer_phase
1,33.000000,0,0.150000,10000,13,0.000000,10000.000000,483,0.000000,0.500000,0,0.000000,0,0.000000,competition
2,32.600000,0,0.150000,10000,13,0.000000,10000.000000,955,0.000000,0.500000,0,0.000000,0,0.000000,competition
3,29.000000,0,0.146000,10000,13,0.000000,10000.000000,1388,0.000000,0.500000,0,0.000000,0,0.000000,competition
4,26.400000,0,0.142000,10000,13,0.000000,10000.000000,1471,0.000000,0.500000,0,0.000000,0,0.000000,competition
5,26.000000,0,0.138000,10000,13,0.000000,10000.000000,1466,0.000000,0.500000,0,0.000000,0,0.000000,competition
6,26.200000,0,0.134000,10000,13,0.000000,10000.000000,1466,0.000000,0.500000,0,0.000000,0,0.000000,competition
7,23.800000,0,0.130000,10000,13,0.000000,10000.000000,1471,0.000000,0.500000,0,0.000000,0,0.000000,competition
8,24.600000,0,0.126000,10000,13,0.000000,10000.000000,1459,0.000000,0.500000,0,0.000000,0,0.000000,competition
9,25.000000,0,0.122000,10000,13,0.000000,10000.000000,1451,0.000000,0.500000,0,0.000000,0,0.000000,competition
10,23.800000,0,0.118000,10000,13,0.000000,10000.000000,1452,0.000000,0.500000,0,0.000000,0,0.000000,competition
11,21.400000,0,0.114000,10000,13,0.000000,10000.000000,1470,0.000000,0.500000,0,0.000000,0,0.000000,competition
12,23.500000,0,0.110000,10000,13,0.000000,10000.000000,1479,0.000000,0.500000,0,0.000000,0,0.000000,competition
13,21.400000,0,0.106000,10000,13,0.000000,10000.000000,1423,0.000000,0.500000,0,0.000000,0,0.000000,competition
14,21.400000,0,0.102000,10000,13,0.000000,10000.000000,1476,0.000000,0.500000,0,0.000000,0,0.000000,competition
15,23.900000,0,0.098500,10000,13,0.000000,10000.000000,1453,0.000000,0.500000,0,0.000000,0,0.000000,competition
16,20.400000,0,0.094500,10000,13,0.000000,10000.000000,1460,0.000000,0.500000,0,0.000000,0,0.000000,competition
17,20.300000,0,0.090500,10000,13,0.000000,10000.000000,1475,0.000000,0.500000,0,0.000000,0,0.000000,competition
18,22.400000,0,0.086500,10000,13,0.000000,10000.000000,1452,0.000000,0.500000,0,0.000000,0,0.000000,competition
19,19.800000,0,0.082500,10000,13,0.000000,10000.000000,1477,0.000000,0.500000,0,0.000000,0,0.000000,competition
20,21.900000,0,0.079000,10000,13,0.000000,10000.000000,1492,0.000000,0.500000,0,0.000000,0,0.000000,competition
21,21.200000,0,0.075500,10000,13,0.000000,10000.000000,1454,0.000000,0.500000,0,0.000000,0,0.000000,competition
22,22.800000,0,0.072000,10000,13,0.000000,10000.000000,1475,0.000000,0.500000,0,0.000000,0,0.000000,competition
23,21.600000,0,0.068500,10000,13,0.000000,10000.000000,1459,0.000000,0.500000,0,0.000000,0,0.000000,competition
24,19.300000,0,0.064500,10000,13,0.000000,10000.000000,1503,0.000000,0.500000,0,0.000000,0,0.000000,competition
25,19.600000,0,0.060500,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
26,22.600000,0,0.060000,10000,13,0.000000,10000.000000,1461,0.000000,0.500000,0,0.000000,0,0.000000,competition
27,21.100000,0,0.060000,10000,13,0.000000,10000.000000,1509,0.000000,0.500000,0,0.000000,0,0.000000,competition
28,23.200000,0,0.060000,10000,13,0.000000,10000.000000,1479,0.000000,0.500000,0,0.000000,0,0.000000,competition
29,22.800000,0,0.060000,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
30,18.300000,0,0.060000,10000,13,0.000000,10000.000000,1487,0.000000,0.500000,0,0.000000,0,0.000000,competition
31,23.300000,0,0.060000,10000,13,0.000000,10000.000000,1478,0.000000,0.500000,0,0.000000,0,0.000000,competition
32,23.200000,0,0.060000,10000,13,0.000000,10000.000000,1484,0.000000,0.500000,0,0.000000,0,0.000000,competition
33,21.900000,0,0.060000,10000,13,0.000000,10000.000000,1455,0.000000,0.500000,0,0.000000,0,0.000000,competition
